Datum;plusminus
22.07.2015;-0,24
21.07.2015;-0,43
20.07.2015;0,08
17.07.2015;0,11
16.07.2015;0,8
15.07.2015;-0,07
14.07.2015;0,45
13.07.2015;1,11
10.07.2015;1,23
09.07.2015;0,23
08.07.2015;-1,67
07.07.2015;0,61
06.07.2015;-0,39
02.07.2015;-0,03
01.07.2015;0,69
30.06.2015;0,27
29.06.2015;-2,09
26.06.2015;-0,04
25.06.2015;-0,3
24.06.2015;-0,74
23.06.2015;0,06
22.06.2015;0,61
19.06.2015;-0,53
18.06.2015;0,99
17.06.2015;0,2
16.06.2015;0,57
15.06.2015;-0,46
