Datum;plusminus
17.04.2019;-0,23
16.04.2019;0,05
15.04.2019;-0,06
12.04.2019;0,66
11.04.2019;0
10.04.2019;0,35
09.04.2019;-0,61
08.04.2019;0,1
05.04.2019;0,46
04.04.2019;0,21
03.04.2019;0,21
02.04.2019;0
01.04.2019;1,16
29.03.2019;0,67
28.03.2019;0,36
27.03.2019;-0,46
26.03.2019;0,72
25.03.2019;-0,08
22.03.2019;-1,9
21.03.2019;1,09
20.03.2019;-0,29
19.03.2019;-0,01
18.03.2019;0,37
15.03.2019;0,5
14.03.2019;-0,09
13.03.2019;0,69
12.03.2019;0,3
11.03.2019;1,47
08.03.2019;-0,21
07.03.2019;-0,81
06.03.2019;-0,65
05.03.2019;-0,11
04.03.2019;-0,39
01.03.2019;0,69
28.02.2019;-0,28
27.02.2019;-0,05
26.02.2019;-0,08
25.02.2019;0,12
22.02.2019;0,64
21.02.2019;-0,35
20.02.2019;0,18
19.02.2019;0,15
15.02.2019;1,09
14.02.2019;-0,27
13.02.2019;0,3
12.02.2019;1,29
11.02.2019;0,07
08.02.2019;0,07
07.02.2019;-0,94
06.02.2019;-0,22
05.02.2019;0,47
04.02.2019;0,68
01.02.2019;0,09
31.01.2019;0,86
30.01.2019;1,55
29.01.2019;-0,15
28.01.2019;-0,78
25.01.2019;0,85
24.01.2019;0,14
23.01.2019;0,22
22.01.2019;-1,42
18.01.2019;1,32
17.01.2019;0,76
16.01.2019;0,22
15.01.2019;1,07
14.01.2019;-0,53
11.01.2019;-0,01
10.01.2019;0,45
09.01.2019;0,41
08.01.2019;0,97
07.01.2019;0,7
04.01.2019;3,43
03.01.2019;-2,48
02.01.2019;0,13
31.12.2018;0,85
28.12.2018;-0,12
27.12.2018;0,86
26.12.2018;4,96
24.12.2018;-2,71
21.12.2018;-2,06
20.12.2018;-1,58
19.12.2018;-1,54
18.12.2018;0,01
17.12.2018;-2,08
14.12.2018;-1,91
13.12.2018;-0,02
12.12.2018;0,54
11.12.2018;-0,04
10.12.2018;0,18
07.12.2018;-2,33
06.12.2018;-0,15
04.12.2018;-3,24
03.12.2018;1,09
30.11.2018;0,82
29.11.2018;-0,22
28.11.2018;2,3
27.11.2018;0,33
26.11.2018;1,55
23.11.2018;-0,66
21.11.2018;0,3
20.11.2018;-1,82
19.11.2018;-1,66
16.11.2018;0,22
15.11.2018;1,06
14.11.2018;-0,76
13.11.2018;-0,15
12.11.2018;-1,97
09.11.2018;-0,92
08.11.2018;-0,25
07.11.2018;2,12
06.11.2018;0,63
05.11.2018;0,56
02.11.2018;-0,63
01.11.2018;1,06
31.10.2018;1,09
30.10.2018;1,57
29.10.2018;-0,66
26.10.2018;-1,73
25.10.2018;1,86
24.10.2018;-3,09
23.10.2018;-0,55
22.10.2018;-0,43
19.10.2018;-0,04
18.10.2018;-1,44
17.10.2018;-0,03
16.10.2018;2,15
15.10.2018;-0,59
12.10.2018;1,42
11.10.2018;-2,06
10.10.2018;-3,29
09.10.2018;-0,14
08.10.2018;-0,04
05.10.2018;-0,55
04.10.2018;-0,82
03.10.2018;0,07
02.10.2018;-0,04
01.10.2018;0,36
28.09.2018;0
27.09.2018;0,28
26.09.2018;-0,33
25.09.2018;-0,13
24.09.2018;-0,35
21.09.2018;-0,04
20.09.2018;0,78
19.09.2018;0,13
18.09.2018;0,54
17.09.2018;-0,56
14.09.2018;0,03
13.09.2018;0,53
12.09.2018;0,04
11.09.2018;0,37
10.09.2018;0,19
07.09.2018;-0,22
06.09.2018;-0,37
05.09.2018;-0,28
04.09.2018;-0,17
31.08.2018;0,01
30.08.2018;-0,44
29.08.2018;0,57
28.08.2018;0,03
27.08.2018;0,77
24.08.2018;0,62
23.08.2018;-0,17
22.08.2018;-0,04
21.08.2018;0,21
20.08.2018;0,24
17.08.2018;0,33
16.08.2018;0,79
15.08.2018;-0,76
14.08.2018;0,64
13.08.2018;-0,4
10.08.2018;-0,71
09.08.2018;-0,14
08.08.2018;-0,03
07.08.2018;0,28
